Questions ,Answer1,Answer2,Answer3,Answer4,Correct Answer
Question1: What is the capital city of Japan?,A) Seoul,B) Beijing,C) Tokyo,D) Bangkok,3
"Question2: Which planet is known as the ""Red Planet""?",A) Venus,B) Mars,C) Jupiter,D) Saturn,2
"Question3: Who wrote the play ""Romeo and Juliet""? Who wrote the play ""Romeo and Juliet""?",A) William Shakespeare,B) Jane Austen,C) Charles Dickens, D) Mark Twain,1
Question4: In which year did the Titanic sink?,A) 1905,B) 1912,C) 1920,D) 1931,2
 Question5: What is the largest mammal in the world?,A) Elephant,B) Blue Whale,C) Giraffe,D) Polar Bear,2
Question6: Who painted the Mona Lisa?,A) Leonardo da Vinci,B) Vincent van Gogh,C) Pablo Picasso,D) Claude Monet,1
Question7: What is the largest ocean on Earth?,A) Atlantic Ocean,B) Indian Ocean,C) Southern Ocean,D) Pacific Ocean,4
Question8: What is the capital of Australia?,A) Sydney,B) Melbourne,C) Canberra,D) Brisbane,3
"Question9: Who is known as the ""Father of Computer Science""?",A) Alan Turing,B) Bill Gates,C) Steve Jobs,D) Mark Zuckerberg,1
Question10: What is the chemical symbol for gold?,A) Gd,B) Ge,C) Au,D) Ag,3
Question11: In which year did the first moon landing occur?,A) 1965,B) 1969,C) 1973,D) 1981,2
Question12: Which famous scientist developed the theory of general relativity?,A) Isaac Newton,B) Albert Einstein,C) Stephen Hawking,D) Marie Curie,2
Question13: What is the largest organ in the human body?,A) Heart,B) Brain,C) Liver,D) Skin,4
"Question14: Which planet is known as the ""Morning Star"" or ""Evening Star"" depending on its appearance?",A) Mars,B) Venus,C) Mercury,D) Jupiter,2
"Question15: Who wrote the famous play ""Hamlet""?",A) Charles Dickens,B) William Shakespeare,C) Jane Austen,D) F. Scott Fitzgerald,2
Question16: What is the currency of Japan?,A) Yen,B) Won,C) Ringgit,D) Baht,1
"Question17: Which element has the chemical symbol ""O""?",A) Oxygen,B) Osmium,C) Oganesson,D) Octane,1
Question18: Who is the author of the Harry Potter book series?,A) J.R.R. Tolkien,B) J.K. Rowling,C) George R.R. Martin,D) Suzanne Collins,2
Question19: What is the smallest prime number?,A) 0,B) 1,C) 2,D) 3,3
Question20: Which famous scientist is credited with the discovery of the law of gravity?,A) Galileo Galilei,B) Sir Isaac Newton,C) Johannes Kepler,D) Albert Einstein,2
